"","region_txt","date","sum"
"408","Central America & Caribbean",1997-03-01 11:00:00,17
"409","Central America & Caribbean",1997-04-01 10:00:00,5
"410","Central America & Caribbean",1997-05-01 10:00:00,5
"411","Central America & Caribbean",1997-06-01 10:00:00,4
"412","Central America & Caribbean",1997-07-01 10:00:00,4
"413","Central America & Caribbean",1997-08-01 10:00:00,3
"414","Central America & Caribbean",1997-09-01 10:00:00,10
"415","Central America & Caribbean",1997-10-01 10:00:00,3
"416","Central America & Caribbean",1997-11-01 11:00:00,11
"417","Central America & Caribbean",1997-12-01 11:00:00,0
"418","Central America & Caribbean",1998-09-01 10:00:00,0
"419","Central America & Caribbean",1999-01-01 11:00:00,1
"420","Central America & Caribbean",1999-03-01 11:00:00,0
"421","Central America & Caribbean",1999-04-01 10:00:00,0
"422","Central America & Caribbean",1999-09-01 10:00:00,0
"423","Central America & Caribbean",1999-10-01 10:00:00,2
"424","Central America & Caribbean",1999-11-01 11:00:00,3
"425","Central America & Caribbean",2000-02-01 11:00:00,0
"426","Central America & Caribbean",2000-03-01 11:00:00,2
"427","Central America & Caribbean",2000-04-01 10:00:00,3
"428","Central America & Caribbean",2000-05-01 10:00:00,1
"429","Central America & Caribbean",2000-07-01 10:00:00,2
"430","Central America & Caribbean",2000-11-01 11:00:00,1
"431","Central America & Caribbean",2000-12-01 11:00:00,2
"432","Central America & Caribbean",2001-01-01 11:00:00,0
"433","Central America & Caribbean",2001-02-01 11:00:00,1
"434","Central America & Caribbean",2001-03-01 11:00:00,0
"435","Central America & Caribbean",2001-07-01 10:00:00,1
"436","Central America & Caribbean",2002-05-01 10:00:00,0
"437","Central America & Caribbean",2003-01-01 11:00:00,1
"438","Central America & Caribbean",2003-07-01 10:00:00,4
"439","Central America & Caribbean",2003-10-01 10:00:00,0
"440","Central America & Caribbean",2004-02-01 11:00:00,1
"441","Central America & Caribbean",2004-03-01 11:00:00,6
"442","Central America & Caribbean",2004-09-01 10:00:00,3
"443","Central America & Caribbean",2004-12-01 11:00:00,28
"444","Central America & Caribbean",2005-07-01 10:00:00,0
"445","Central America & Caribbean",2005-08-01 10:00:00,0
"446","Central America & Caribbean",2005-10-01 10:00:00,1
"447","Central America & Caribbean",2006-01-01 11:00:00,2
"448","Central America & Caribbean",2006-04-01 11:00:00,5
"449","Central America & Caribbean",2007-04-01 10:00:00,1
"450","Central America & Caribbean",2007-05-01 10:00:00,1
"451","Central America & Caribbean",2007-09-01 10:00:00,0
"452","Central America & Caribbean",2007-11-01 11:00:00,0
"453","Central America & Caribbean",2009-02-01 11:00:00,1
"454","Central America & Caribbean",2009-11-01 11:00:00,2
"455","Central America & Caribbean",2010-07-01 10:00:00,0
"456","Central America & Caribbean",2011-12-01 11:00:00,2
"457","Central America & Caribbean",2012-01-01 11:00:00,2
"458","Central America & Caribbean",2013-01-01 11:00:00,1
"459","Central America & Caribbean",2013-03-01 11:00:00,1
"460","Central America & Caribbean",2013-08-01 10:00:00,2
"461","Central America & Caribbean",2013-10-01 10:00:00,0
"462","Central America & Caribbean",2013-11-01 11:00:00,5
"463","Central America & Caribbean",2014-04-01 11:00:00,0
"464","Central America & Caribbean",2014-05-01 10:00:00,0
"465","Central America & Caribbean",2014-07-01 10:00:00,5
"466","Central America & Caribbean",2014-10-01 10:00:00,0
"467","Central America & Caribbean",2015-06-01 10:00:00,0
"468","Central America & Caribbean",2016-03-01 11:00:00,0
"469","Central America & Caribbean",2016-05-01 10:00:00,7
"470","Central America & Caribbean",2016-10-01 10:00:00,2
"471","Central America & Caribbean",2017-02-01 11:00:00,2
"472","Central America & Caribbean",2017-05-01 10:00:00,2
"473","Central America & Caribbean",2017-09-01 10:00:00,0
"474","Central America & Caribbean",2017-10-01 11:00:00,0
"475","Central Asia",1991-08-01 10:00:00,0
"476","Central Asia",1991-09-01 10:00:00,2
"477","Central Asia",1991-11-01 11:00:00,26
"478","Central Asia",1991-12-01 11:00:00,0
"479","Central Asia",1992-01-01 11:00:00,59
"480","Central Asia",1992-02-01 11:00:00,5
"481","Central Asia",1992-03-01 10:00:00,120
"482","Central Asia",1992-04-01 10:00:00,15
"483","Central Asia",1992-05-01 10:00:00,34
"484","Central Asia",1992-06-01 10:00:00,4
"485","Central Asia",1992-07-01 10:00:00,6
"486","Central Asia",1992-08-01 10:00:00,7
"487","Central Asia",1992-09-01 10:00:00,29
"488","Central Asia",1992-10-01 10:00:00,5
"489","Central Asia",1992-11-01 11:00:00,7
"490","Central Asia",1992-12-01 11:00:00,29
"491","Central Asia",1994-01-01 11:00:00,15
"492","Central Asia",1994-02-01 11:00:00,10
"493","Central Asia",1994-03-01 11:00:00,25
"494","Central Asia",1994-04-01 10:00:00,8
"495","Central Asia",1994-05-01 10:00:00,6
"496","Central Asia",1994-06-01 10:00:00,19
"497","Central Asia",1994-07-01 10:00:00,7
"498","Central Asia",1994-09-01 10:00:00,24
"499","Central Asia",1994-10-01 10:00:00,4
"500","Central Asia",1994-11-01 11:00:00,0
"501","Central Asia",1994-12-01 11:00:00,4
